sale_date,sale_month,sale_quarter,sale_year,block,floor,floor_decade,area_ft,area_m,price
13-Oct-16,2016-10,2016Q4,2016,8,18,1x,667,62,1234000
21-Apr-11,2011-04,2011Q2,2011,8,19,1x,366,34,758700
28-Apr-11,2011-04,2011Q2,2011,8,19,1x,366,34,753300
6-May-11,2011-05,2011Q2,2011,8,19,1x,398,37,841500
9-May-11,2011-05,2011Q2,2011,8,19,1x,398,37,845100
9-Jun-11,2011-06,2011Q2,2011,8,19,1x,667,62,1313000
22-Dec-11,2011-12,2011Q4,2011,8,19,1x,700,65,1367000
29-May-13,2013-05,2013Q2,2013,8,19,1x,700,65,1518000
2-Mar-16,2016-03,2016Q1,2016,8,19,1x,366,34,843000
19-Apr-11,2011-04,2011Q2,2011,8,20,2x,366,34,758700
20-Apr-11,2011-04,2011Q2,2011,8,20,2x,398,37,849600
21-Apr-11,2011-04,2011Q2,2011,8,20,2x,366,34,762300
21-Apr-11,2011-04,2011Q2,2011,8,20,2x,398,37,846000
19-May-11,2011-05,2011Q2,2011,8,20,2x,667,62,1283000
14-Jun-11,2011-06,2011Q2,2011,8,20,2x,667,62,1320000
28-Mar-12,2012-03,2012Q1,2012,8,20,2x,700,65,1373000
25-Apr-12,2012-04,2012Q2,2012,8,20,2x,700,65,1465000
10-May-16,2016-05,2016Q2,2016,8,20,2x,366,34,818000
22-Sep-16,2016-09,2016Q3,2016,8,20,2x,398,37,880000
3-Feb-17,2017-02,2017Q1,2017,8,20,2x,667,62,1310000
12-Apr-11,2011-04,2011Q2,2011,8,21,2x,398,37,811800
18-Apr-11,2011-04,2011Q2,2011,8,21,2x,366,34,742500
18-Apr-11,2011-04,2011Q2,2011,8,21,2x,667,62,1289000
20-Apr-11,2011-04,2011Q2,2011,8,21,2x,366,34,738000
27-Apr-11,2011-04,2011Q2,2011,8,21,2x,398,37,808200
19-Aug-11,2011-08,2011Q3,2011,8,21,2x,667,62,1327000
12-Mar-12,2012-03,2012Q1,2012,8,21,2x,700,65,1380000
30-Oct-12,2012-10,2012Q4,2012,8,21,2x,700,65,1471000
15-Apr-11,2011-04,2011Q2,2011,8,22,2x,366,34,744300
20-Apr-11,2011-04,2011Q2,2011,8,22,2x,366,34,741600
26-Apr-11,2011-04,2011Q2,2011,8,22,2x,398,37,815400
28-Apr-11,2011-04,2011Q2,2011,8,22,2x,398,37,812700
6-May-11,2011-05,2011Q2,2011,8,22,2x,667,62,1294000
11-May-11,2011-05,2011Q2,2011,8,22,2x,700,65,1385000
16-Jun-11,2011-06,2011Q2,2011,8,22,2x,667,62,1332000
22-Apr-16,2016-04,2016Q2,2016,8,22,2x,398,37,880000
1-Apr-11,2011-04,2011Q2,2011,8,23,2x,398,37,803700
7-Apr-11,2011-04,2011Q2,2011,8,23,2x,398,37,800100
8-Apr-11,2011-04,2011Q2,2011,8,23,2x,667,62,1338000
8-Apr-11,2011-04,2011Q2,2011,8,23,2x,700,65,1391000
11-Apr-11,2011-04,2011Q2,2011,8,23,2x,366,34,729000
11-Apr-11,2011-04,2011Q2,2011,8,23,2x,366,34,750600
4-May-11,2011-05,2011Q2,2011,8,23,2x,667,62,1301000
8-Aug-16,2016-08,2016Q3,2016,8,23,2x,366,34,868000
7-Apr-11,2011-04,2011Q2,2011,8,24,2x,366,34,736200
11-Apr-11,2011-04,2011Q2,2011,8,24,2x,366,34,732600
11-Apr-11,2011-04,2011Q2,2011,8,24,2x,398,37,807300
11-Apr-11,2011-04,2011Q2,2011,8,24,2x,398,37,787500
17-Jun-11,2011-06,2011Q2,2011,8,24,2x,667,62,1345000
17-Jun-11,2011-06,2011Q2,2011,8,24,2x,667,62,1308000
9-Apr-12,2012-04,2012Q2,2012,8,24,2x,700,65,1398000
3-Jun-14,2014-06,2014Q2,2014,8,24,2x,700,65,1551000
31-Mar-11,2011-03,2011Q1,2011,8,25,2x,398,37,808200
8-Apr-11,2011-04,2011Q2,2011,8,25,2x,667,62,1350000
11-Apr-11,2011-04,2011Q2,2011,8,25,2x,366,34,735300
11-Apr-11,2011-04,2011Q2,2011,8,25,2x,366,34,740700
11-Apr-11,2011-04,2011Q2,2011,8,25,2x,398,37,811800
13-Apr-11,2011-04,2011Q2,2011,8,25,2x,700,65,1473000
8-Jun-11,2011-06,2011Q2,2011,8,25,2x,667,62,1313000
10-Jun-11,2011-06,2011Q2,2011,8,25,2x,700,65,1404000
14-Jun-13,2013-06,2013Q2,2013,8,25,2x,366,34,825000
22-Dec-15,2015-12,2015Q4,2015,8,25,2x,366,34,870000
8-Apr-11,2011-04,2011Q2,2011,8,26,2x,398,37,815400
11-Apr-11,2011-04,2011Q2,2011,8,26,2x,366,34,744300
12-Apr-11,2011-04,2011Q2,2011,8,26,2x,667,62,1356000
13-Apr-11,2011-04,2011Q2,2011,8,26,2x,398,37,812700
